project,github_url,year,md
Oil spill monitoring: segmentation of satellite imagery,https://github.com/oceanhackweek/ohw23_proj_oil,2023,[Oil spill monitoring: segmentation of satellite imagery](https://github.com/oceanhackweek/ohw23_proj_oil)
Marine species distribution modeling tutorial: sea turtles,https://github.com/oceanhackweek/ohw23_proj_marinesdms,2023,[Marine species distribution modeling tutorial: sea turtles](https://github.com/oceanhackweek/ohw23_proj_marinesdms)
Inertial oscillations in the marginal ice zone,https://github.com/oceanhackweek/ohw23_proj_sea_ice_oscillations,2023,[Inertial oscillations in the marginal ice zone](https://github.com/oceanhackweek/ohw23_proj_sea_ice_oscillations)
Machine learning for Argo Data QC,https://github.com/oceanhackweek/ohw23_proj_argo_ml,2023,[Machine learning for Argo Data QC](https://github.com/oceanhackweek/ohw23_proj_argo_ml)
Benthic habitat mapping (image processing/seabed classification),https://github.com/oceanhackweek/ohw23-proj-habitatmapping,2023,[Benthic habitat mapping (image processing/seabed classification)](https://github.com/oceanhackweek/ohw23-proj-habitatmapping)
Mooring processing and data page (“fancy moorings”),https://github.com/oceanhackweek/ohw23_proj_fancymoorings,2023,[Mooring processing and data page (“fancy moorings”)](https://github.com/oceanhackweek/ohw23_proj_fancymoorings)
SST spatial distribution prediction using machine learning,https://github.com/oceanhackweek/ohw23_proj_sst,2023,[SST spatial distribution prediction using machine learning](https://github.com/oceanhackweek/ohw23_proj_sst)
Passive acoustics monitoring,https://github.com/oceanhackweek/ohw23-proj-pamproject,2023,[Passive acoustics monitoring](https://github.com/oceanhackweek/ohw23-proj-pamproject)
Direct geo referencing drone images,https://github.com/oceanhackweek/ohw23_proj_drone_georef,2023,[Direct geo referencing drone images](https://github.com/oceanhackweek/ohw23_proj_drone_georef)
Variability of the suppression of South Australian upwelling,https://github.com/oceanhackweek/ohw23_proj_SAupwelling,2023,[Variability of the suppression of South Australian upwelling](https://github.com/oceanhackweek/ohw23_proj_SAupwelling)
Bioinformatic pipelines for standardized output,https://github.com/oceanhackweek/ohw23_proj_amplicon,2023,[Bioinformatic pipelines for standardized output](https://github.com/oceanhackweek/ohw23_proj_amplicon)
